gender_male,race/ethnicity_group B,race/ethnicity_group C,race/ethnicity_group D,race/ethnicity_group E,parental level of education_bachelor's degree,parental level of education_high school,parental level of education_master's degree,parental level of education_some college,parental level of education_some high school,lunch_standard,test preparation course_none,math score,reading score,writing score,total_perc,total_Marks,Grade,math_passstatus,reading_passstatus,writing_passstatus,perc_passstatus
0,1,0,0,0,1,0,0,0,0,1,1,72,72,74,72.67,218,B,P,P,P,P
0,0,1,0,0,0,0,0,1,0,1,0,69,90,88,82.33,247,B,P,P,P,P
0,1,0,0,0,0,0,1,0,0,1,1,90,95,93,92.67,278,A,P,P,P,P
1,0,0,0,0,0,0,0,0,0,0,1,47,57,44,49.33,148,F,F,P,F,F
1,0,1,0,0,0,0,0,1,0,1,1,76,78,75,76.33,229,B,P,P,P,P
0,1,0,0,0,0,0,0,0,0,1,1,71,83,78,77.33,232,B,P,P,P,P
0,1,0,0,0,0,0,0,1,0,1,0,88,95,92,91.67,275,A,P,P,P,P
1,1,0,0,0,0,0,0,1,0,0,1,40,43,39,40.67,122,F,F,F,F,F
1,0,0,1,0,0,1,0,0,0,0,0,64,64,67,65.0,195,C,P,P,P,P
0,1,0,0,0,0,1,0,0,0,0,1,38,60,50,49.33,148,F,F,P,P,F
1,0,1,0,0,0,0,0,0,0,1,1,58,54,52,54.67,164,D,P,P,P,P
1,0,0,1,0,0,0,0,0,0,1,1,40,52,43,45.0,135,F,F,P,F,F
0,1,0,0,0,0,1,0,0,0,1,1,65,81,73,73.0,219,B,P,P,P,P
1,0,0,0,0,0,0,0,1,0,1,0,78,72,70,73.33,220,B,P,P,P,P
0,0,0,0,0,0,0,1,0,0,1,1,50,53,58,53.67,161,D,P,P,P,P
0,0,1,0,0,0,0,0,0,1,1,1,69,75,78,74.0,222,B,P,P,P,P
1,0,1,0,0,0,1,0,0,0,1,1,88,89,86,87.67,263,A,P,P,P,P
0,1,0,0,0,0,0,0,0,1,0,1,18,32,28,26.0,78,F,F,F,F,F
1,0,1,0,0,0,0,1,0,0,0,0,46,42,46,44.67,134,F,F,F,F,F
0,0,1,0,0,0,0,0,0,0,0,1,54,58,61,57.67,173,D,P,P,P,P
1,0,0,1,0,0,1,0,0,0,1,1,66,69,63,66.0,198,C,P,P,P,P
0,1,0,0,0,0,0,0,1,0,0,0,65,75,70,70.0,210,C,P,P,P,P
1,0,0,1,0,0,0,0,1,0,1,1,44,54,53,50.33,151,D,F,P,P,P
0,0,1,0,0,0,0,0,0,1,1,1,69,73,73,71.67,215,B,P,P,P,P
1,0,0,1,0,1,0,0,0,0,0,0,74,71,80,75.0,225,B,P,P,P,P
1,0,0,0,0,0,0,1,0,0,0,1,73,74,72,73.0,219,B,P,P,P,P
1,1,0,0,0,0,0,0,1,0,1,1,69,54,55,59.33,178,D,P,P,P,P
0,0,1,0,0,1,0,0,0,0,1,1,67,69,75,70.33,211,C,P,P,P,P
1,0,1,0,0,0,1,0,0,0,1,1,70,70,65,68.33,205,C,P,P,P,P
0,0,0,1,0,0,0,1,0,0,1,1,62,70,75,69.0,207,C,P,P,P,P
0,0,0,1,0,0,0,0,1,0,1,1,69,74,74,72.33,217,B,P,P,P,P
0,1,0,0,0,0,0,0,1,0,1,1,63,65,61,63.0,189,C,P,P,P,P
0,0,0,0,1,0,0,1,0,0,0,1,56,72,65,64.33,193,C,P,P,P,P
1,0,0,1,0,0,0,0,1,0,1,1,40,42,38,40.0,120,F,F,F,F,F
1,0,0,0,1,0,0,0,1,0,1,1,97,87,82,88.67,266,A,P,P,P,P
1,0,0,0,1,0,0,0,0,0,1,0,81,81,79,80.33,241,B,P,P,P,P
0,0,0,1,0,0,0,0,0,0,1,1,74,81,83,79.33,238,B,P,P,P,P
0,0,0,1,0,0,0,0,0,1,0,1,50,64,59,57.67,173,D,P,P,P,P
0,0,0,1,0,0,0,0,0,0,0,0,75,90,88,84.33,253,B,P,P,P,P
1,1,0,0,0,0,0,0,0,0,0,1,57,56,57,56.67,170,D,P,P,P,P
